id,updated,ship,imo,lat,long,sog,cog,hdg,depPort,etdSchedule,etd,atd,arrPort,etaSchedule,eta,ata
892069,07/03/2019 15:51,Star,9364722,59.9774,24.8948,23.1,5,5,EETLL,07/03/2019 14:30,07/03/2019 14:30,2019-03-07 14:20:14,FIHEL,07/03/2019 16:30,03/07/2019 16:27,03/07/2019 16:26
309880,03/08/2018 15:40,Europa,8919805,60.147,24.9153,4.9,222,219,FIHEL,03/08/2018 15:30,03/08/2018 15:33,2018-08-03 15:33:50,EETLL,03/08/2018 19:00,08/03/2018 18:54,08/03/2018 19:00
474086,06/10/2018 17:51,Star,9364722,59.6328,24.6865,20.7,210,210,FIHEL,06/10/2018 16:30,06/10/2018 16:30,2018-10-06 16:20:49,EETLL,06/10/2018 18:30,10/06/2018 18:29,10/06/2018 18:32
31378,16/04/2018 20:47,Star,9364722,59.9269,24.8737,24.0,28,26,EETLL,16/04/2018 19:30,18/04/2018 15:24,2018-04-16 19:28:09,FIHEL,16/04/2018 21:30,,
900502,10/03/2019 18:12,Megastar,9773064,59.7327,24.7827,22.8,14,11,EETLL,10/03/2019 17:30,10/03/2019 17:30,2019-03-10 17:19:08,FIHEL,10/03/2019 19:30,03/10/2019 19:28,03/10/2019 19:29
470133,05/10/2018 10:02,Finlandia,9214379,59.7978,24.7578,22.6,21,21,EETLL,05/10/2018 09:00,05/10/2018 09:00,2018-10-05 08:57:16,FIHEL,05/10/2018 11:15,10/05/2018 11:11,10/05/2018 11:06
625132,06/12/2018 18:10,Megastar,9773064,59.7219,24.7704,22.4,15,14,EETLL,06/12/2018 17:30,06/12/2018 17:30,2018-12-06 17:19:01,FIHEL,06/12/2018 18:30,12/06/2018 19:28,12/06/2018 19:24
179990,13/06/2018 07:34,Star,9364722,59.4828,24.7682,19.7,352,348,EETLL,13/06/2018 07:30,13/06/2018 07:30,2018-06-13 07:24:27,FIHEL,13/06/2018 09:30,,
379102,01/09/2018 11:00,Finlandia,9214379,60.1323,24.9058,15.5,0,359,EETLL,01/09/2018 09:00,01/09/2018 09:00,2018-09-01 08:56:05,FIHEL,01/09/2018 11:15,09/01/2018 11:07,09/01/2018 12:06
890812,07/03/2019 07:38,Finlandia,9214379,59.9343,24.9298,23.0,199,198,FIHEL,07/03/2019 07:00,07/03/2019 07:00,2019-03-07 06:58:16,EETLL,07/03/2019 09:15,03/07/2019 09:06,03/07/2019 09:09
750749,06/01/2019 06:34,Megastar,9773064,59.8579,24.8392,22.5,11,10,EETLL,06/01/2019 05:30,06/01/2019 05:30,2019-01-06 05:25:08,FIHEL,06/01/2019 07:30,01/06/2019 07:30,01/06/2019 07:28
788505,27/01/2019 17:18,Europa,8919805,60.0122,24.9063,16.5,180,178,FIHEL,27/01/2019 16:30,27/01/2019 16:34,2019-01-27 16:34:15,EETLL,27/01/2019 20:00,,
888365,06/03/2019 10:05,Megastar,9773064,59.5238,24.7253,21.8,159,160,FIHEL,06/03/2019 08:30,06/03/2019 08:30,2019-03-06 08:18:07,EETLL,06/03/2019 10:30,03/06/2019 10:23,03/06/2019 10:27
504085,18/10/2018 05:05,Megastar,9773064,59.6892,24.7491,22.3,22,22,EETLL,18/10/2018 04:30,18/10/2018 04:30,2018-10-18 04:18:18,FIHEL,18/10/2018 06:30,,
778045,23/01/2019 17:48,Finlandia,9214379,59.7803,24.8408,23.0,12,10,EETLL,23/01/2019 16:30,23/01/2019 16:42,2019-01-23 16:43:19,FIHEL,23/01/2019 19:00,,
407539,12/09/2018 04:24,Star,9364722,60.1385,24.9054,13.5,184,183,FIHEL,12/09/2018 04:30,12/09/2018 04:30,2018-09-12 04:21:06,EETLL,12/09/2018 06:30,09/12/2018 06:33,09/12/2018 06:38
553242,10/11/2018 11:37,Finlandia,9214379,60.0788,24.9708,16.9,8,11,EETLL,10/11/2018 10:00,10/11/2018 10:00,2018-11-10 09:51:48,FIHEL,10/11/2018 12:15,11/10/2018 11:57,11/10/2018 12:05
86175,07/05/2018 16:29,Finlandia,9214379,59.7527,24.795,24.2,16,14,EETLL,07/05/2018 15:30,07/05/2018 15:32,2018-05-07 15:32:52,FIHEL,07/05/2018 18:00,05/07/2018 17:44,05/07/2018 17:44
379694,01/09/2018 14:32,Star,9364722,59.8494,24.8603,21.5,9,6,EETLL,01/09/2018 13:30,01/09/2018 13:30,2018-09-01 12:34:10,FIHEL,01/09/2018 15:30,09/01/2018 15:28,09/01/2018 15:34
569778,16/11/2018 12:31,Megastar,9773064,59.8406,24.8295,21.8,11,10,EETLL,16/11/2018 11:30,16/11/2018 11:30,2018-11-16 11:18:09,FIHEL,16/11/2018 13:30,,
120386,21/05/2018 10:25,Star,9364722,60.1338,24.9056,14.0,183,182,FIHEL,21/05/2018 10:30,21/05/2018 10:30,2018-05-21 10:22:18,EETLL,21/05/2018 12:30,,
640593,12/12/2018 12:42,Megastar,9773064,59.9015,24.8642,21.9,12,13,EETLL,12/12/2018 11:30,12/12/2018 11:30,2018-12-12 10:34:53,FIHEL,12/12/2018 13:30,12/12/2018 13:31,12/12/2018 13:28
155925,04/06/2018 09:08,Finlandia,9214379,59.4532,24.7772,5.6,354,355,EETLL,04/06/2018 09:00,04/06/2018 09:00,2018-06-04 09:00:31,FIHEL,04/06/2018 11:15,06/04/2018 11:21,06/04/2018 11:14
142255,29/05/2018 20:48,Star,9364722,59.581,24.6989,21.3,343,338,EETLL,29/05/2018 20:30,29/05/2018 20:30,2018-05-29 20:23:24,FIHEL,29/05/2018 22:30,,
142823,30/05/2018 06:17,Megastar,9773064,60.124,24.906,16.4,1,0,EETLL,30/05/2018 04:30,30/05/2018 04:30,2018-05-30 04:29:55,FIHEL,30/05/2018 06:30,,
520789,27/10/2018 14:25,Star,9364722,59.8093,24.8408,20.6,12,17,EETLL,27/10/2018 13:30,27/10/2018 13:30,2018-10-27 13:20:10,FIHEL,27/10/2018 15:30,,
47661,22/04/2018 20:53,Megastar,9773064,59.5995,24.6684,22.8,167,167,FIHEL,22/04/2018 19:30,22/04/2018 19:30,2018-04-22 19:19:09,EETLL,22/04/2018 21:30,,
178742,12/06/2018 16:40,Finlandia,9214379,59.792,24.8117,22.8,13,12,EETLL,12/06/2018 15:30,12/06/2018 15:30,2018-06-12 15:30:50,FIHEL,12/06/2018 18:00,06/12/2018 17:48,06/12/2018 17:52
57224,26/04/2018 12:23,Star,9364722,59.4481,24.7751,7.4,226,226,FIHEL,26/04/2018 10:30,26/04/2018 10:30,2018-04-26 10:24:16,EETLL,26/04/2018 12:30,,
735166,27/01/2019 14:55,Megastar,9773064,59.9561,24.8841,22.8,192,191,FIHEL,27/01/2019 14:30,27/01/2019 14:30,2019-01-27 14:20:15,EETLL,27/01/2019 16:30,,
273430,18/07/2018 20:40,Finlandia,9214379,59.482,24.7572,22.3,158,156,FIHEL,18/07/2018 18:40,18/07/2018 18:52,2018-07-18 18:52:18,EETLL,18/07/2018 20:50,,
278424,21/07/2018 06:34,Finlandia,9214379,59.9593,24.86,21.4,202,200,FIHEL,21/07/2018 06:00,21/07/2018 06:00,2018-07-21 05:57:09,EETLL,21/07/2018 08:15,,
68946,30/04/2018 19:26,Megastar,9773064,60.1353,24.9055,13.5,180,179,FIHEL,30/04/2018 19:30,30/04/2018 19:30,2018-04-30 19:22:05,EETLL,30/04/2018 21:30,,
493470,14/10/2018 06:19,Finlandia,9214379,60.0133,24.9128,23.9,169,170,FIHEL,14/10/2018 06:00,14/10/2018 06:00,2018-10-14 05:51:16,EETLL,14/10/2018 08:15,,
767039,18/01/2019 13:22,Megastar,9773064,60.1287,24.906,16.3,2,1,EETLL,18/01/2019 11:30,18/01/2019 11:30,2019-01-18 11:18:13,FIHEL,18/01/2019 13:30,,
450389,27/09/2018 20:36,Finlandia,9214379,59.5352,24.7125,24.4,159,157,FIHEL,27/09/2018 18:40,27/09/2018 18:54,2018-09-27 18:54:06,EETLL,27/09/2018 20:50,,
819989,08/02/2019 11:44,Star,9364722,60.0414,24.8977,24.0,159,161,FIHEL,08/02/2019 11:30,08/02/2019 11:30,2019-02-08 11:22:15,EETLL,08/02/2019 13:30,02/08/2019 13:32,02/08/2019 13:36
422455,17/09/2018 14:15,Star,9364722,59.7379,24.802,21.5,19,16,EETLL,17/09/2018 13:30,17/09/2018 13:30,2018-09-17 13:22:01,FIHEL,17/09/2018 15:30,,
150081,01/06/2018 20:43,Finlandia,9214379,59.4552,24.7795,12.5,169,168,FIHEL,01/06/2018 18:40,01/06/2018 18:46,2018-06-01 18:46:57,EETLL,01/06/2018 20:50,06/01/2018 20:49,06/01/2018 20:57
82837,06/05/2018 10:27,Megastar,9773064,59.4599,24.7748,15.8,347,347,EETLL,06/05/2018 10:30,06/05/2018 10:30,2018-05-06 10:20:16,FIHEL,06/05/2018 12:30,05/06/2018 12:34,05/06/2018 12:33
205113,22/06/2018 20:45,Finlandia,9214379,59.4488,24.777,7.3,233,232,FIHEL,22/06/2018 18:40,22/06/2018 18:40,2018-06-22 18:39:36,EETLL,22/06/2018 20:50,,
618822,04/12/2018 13:07,Europa,8919805,60.037,24.9071,15.9,347,346,EETLL,04/12/2018 10:30,04/12/2018 10:38,2018-12-04 10:38:03,FIHEL,04/12/2018 14:00,12/04/2018 13:51,12/04/2018 13:49
722976,23/01/2019 05:39,Star,9364722,60.0712,24.8854,20.2,188,187,FIHEL,23/01/2019 05:30,23/01/2019 05:30,2019-01-23 05:21:14,EETLL,23/01/2019 07:30,,
125367,23/05/2018 08:57,Star,9364722,60.0052,24.9015,21.4,5,2,EETLL,23/05/2018 07:30,23/05/2018 07:30,2018-05-23 07:21:29,FIHEL,23/05/2018 09:30,,
230203,02/07/2018 17:24,Star,9364722,59.79,24.8481,22.1,190,188,FIHEL,02/07/2018 16:30,02/07/2018 16:30,2018-07-02 16:25:47,EETLL,02/07/2018 18:30,07/02/2018 18:31,07/02/2018 18:37
496631,15/10/2018 10:20,Star,9364722,60.147,24.9143,5.0,216,214,FIHEL,15/10/2018 10:30,15/10/2018 10:30,2018-10-15 10:20:09,EETLL,15/10/2018 12:30,,
449292,27/09/2018 13:41,Megastar,9773064,60.0545,24.8977,23.7,174,175,FIHEL,27/09/2018 13:30,27/09/2018 13:30,2018-09-27 13:23:11,EETLL,27/09/2018 15:30,,
409471,12/09/2018 17:15,Star,9364722,59.8503,24.8371,22.0,198,198,FIHEL,12/09/2018 16:30,12/09/2018 16:30,2018-09-12 16:22:21,EETLL,12/09/2018 18:30,09/12/2018 18:31,09/12/2018 18:40
45005,21/04/2018 20:43,Star,9364722,59.9171,24.87,21.8,15,12,EETLL,21/04/2018 19:30,21/04/2018 19:30,2018-04-21 19:20:12,FIHEL,21/04/2018 21:30,,
222928,29/06/2018 20:22,Star,9364722,59.7879,24.8277,21.4,14,13,EETLL,29/06/2018 19:30,29/06/2018 19:30,2018-06-29 19:20:14,FIHEL,29/06/2018 21:30,,
129576,24/05/2018 20:03,Finlandia,9214379,59.6993,24.6772,24.2,188,186,FIHEL,24/05/2018 18:40,24/05/2018 18:46,2018-05-24 18:46:52,EETLL,24/05/2018 20:50,,
641634,12/12/2018 18:59,Star,9364722,59.5934,24.6705,22.2,168,157,FIHEL,12/12/2018 17:30,12/12/2018 17:30,2018-12-12 17:21:13,EETLL,12/12/2018 19:30,12/12/2018 19:29,12/12/2018 19:38
134304,26/05/2018 17:11,Finlandia,9214379,59.9783,24.8845,21.0,30,29,EETLL,26/05/2018 15:30,26/05/2018 15:30,2018-05-26 15:24:55,FIHEL,26/05/2018 18:00,,
694892,11/01/2019 14:54,Megastar,9773064,59.9666,24.8879,23.5,190,193,FIHEL,11/01/2019 14:30,11/01/2019 14:30,2019-01-11 14:22:15,EETLL,11/01/2019 16:30,01/11/2019 16:26,01/11/2019 16:25
540864,05/11/2018 13:02,Europa,8919805,60.0182,24.9083,15.3,359,357,EETLL,05/11/2018 10:30,05/11/2018 10:38,2018-11-05 10:38:29,FIHEL,05/11/2018 14:00,11/05/2018 13:51,11/05/2018 13:54
708342,17/01/2019 17:23,Megastar,9773064,59.4462,24.7726,4.2,12,157,EETLL,17/01/2019 17:30,17/01/2019 17:30,2019-01-17 17:22:13,FIHEL,17/01/2019 19:30,,
371994,29/08/2018 17:43,Megastar,9773064,59.9207,24.8682,22.5,12,12,EETLL,29/08/2018 16:30,29/08/2018 16:30,2018-08-29 16:18:14,FIHEL,29/08/2018 18:30,,
833906,13/02/2019 17:43,Finlandia,9214379,59.802,24.7758,22.3,24,25,EETLL,13/02/2019 16:30,13/02/2019 16:32,2019-02-13 16:33:13,FIHEL,13/02/2019 19:00,,
555655,11/11/2018 11:00,Europa,8919805,59.4851,24.7694,14.3,352,351,EETLL,11/11/2018 10:30,11/11/2018 10:40,2018-11-11 10:41:05,FIHEL,11/11/2018 14:00,11/11/2018 13:56,11/11/2018 13:58
507783,22/10/2018 17:13,Star,9364722,59.8266,24.8577,22.5,195,194,FIHEL,22/10/2018 16:30,22/10/2018 16:30,2018-10-22 16:19:19,EETLL,22/10/2018 18:30,,
710139,18/01/2019 08:10,Finlandia,9214379,59.7963,24.8205,24.9,193,193,FIHEL,18/01/2019 07:00,18/01/2019 07:09,2019-01-18 07:09:16,EETLL,18/01/2019 09:15,,
887688,06/03/2019 04:45,Finlandia,9214379,59.692,24.7608,24.5,26,25,EETLL,06/03/2019 04:00,06/03/2019 04:00,2019-03-06 03:58:07,FIHEL,06/03/2019 06:15,03/06/2019 06:08,03/06/2019 06:14
177796,12/06/2018 10:28,Star,9364722,60.1222,24.9045,15.6,183,181,FIHEL,12/06/2018 10:30,12/06/2018 10:30,2018-06-12 10:22:02,EETLL,12/06/2018 12:30,06/12/2018 12:34,06/12/2018 12:42
881230,03/03/2019 13:23,Megastar,9773064,60.1409,24.907,15.5,7,7,EETLL,03/03/2019 11:30,03/03/2019 11:30,2019-03-03 11:17:17,FIHEL,03/03/2019 13:30,03/03/2019 13:31,03/03/2019 13:32
143068,30/05/2018 08:23,Star,9364722,59.7851,24.824,24.5,12,11,EETLL,30/05/2018 07:30,30/05/2018 07:30,2018-05-30 07:29:14,FIHEL,30/05/2018 09:30,,
906376,13/03/2019 05:47,Star,9364722,60.0054,24.9001,22.1,184,185,FIHEL,13/03/2019 05:30,13/03/2019 05:30,2019-03-13 05:19:16,EETLL,13/03/2019 07:30,,
643684,13/12/2018 14:54,Star,9364722,59.6246,24.6948,21.6,21,27,EETLL,13/12/2018 14:30,13/12/2018 14:30,2018-12-13 14:20:21,FIHEL,13/12/2018 16:30,,
894206,08/03/2019 12:03,Star,9364722,59.9031,24.853,23.1,202,202,FIHEL,08/03/2019 11:30,08/03/2019 11:30,2019-03-08 11:19:13,EETLL,08/03/2019 13:30,03/08/2019 13:28,03/08/2019 13:31
728773,25/01/2019 07:47,Finlandia,9214379,59.9718,24.8952,25.0,195,194,FIHEL,25/01/2019 07:00,25/01/2019 07:13,2019-01-25 07:14:10,EETLL,25/01/2019 09:15,,
27514,15/04/2018 13:53,Star,9364722,59.6155,24.6906,20.9,20,17,EETLL,15/04/2018 13:30,15/04/2018 13:30,2018-04-15 13:21:12,FIHEL,15/04/2018 15:30,,
735400,27/01/2019 16:34,Finlandia,9214379,59.4517,24.7818,11.5,20,19,EETLL,27/01/2019 16:30,27/01/2019 16:30,2019-01-27 16:26:07,FIHEL,27/01/2019 19:00,,
84046,06/05/2018 18:02,Europa,8919805,59.5787,24.6838,15.5,158,161,FIHEL,06/05/2018 15:30,06/05/2018 15:31,2018-05-06 15:31:21,EETLL,06/05/2018 19:00,05/06/2018 18:42,05/06/2018 18:40
48490,23/04/2018 09:19,Star,9364722,60.1001,24.9003,20.1,12,12,EETLL,23/04/2018 07:30,23/04/2018 07:42,2018-04-23 07:42:10,FIHEL,23/04/2018 09:30,,
787211,27/01/2019 07:14,Finlandia,9214379,60.0455,24.8975,20.9,169,169,FIHEL,27/01/2019 07:00,27/01/2019 07:00,2019-01-27 06:51:14,EETLL,27/01/2019 09:15,,
770656,20/01/2019 13:21,Finlandia,9214379,60.096,24.8932,20.1,199,200,FIHEL,20/01/2019 13:15,20/01/2019 13:15,2019-01-20 13:06:11,EETLL,20/01/2019 15:30,,
